game_pk,date,venue,inning,half_inning,pitcher_id,pitcher_name,batter_id,batter_name,pitch_number,pitch_type_code,pitch_type_desc,call,start_speed,end_speed,extension,release_x,release_y,release_z,spin_rate,spin_direction,break_angle,break_length,break_vertical,break_vertical_induced,break_horizontal,zone,plate_time,type_confidence,launch_speed,launch_angle,total_distance,trajectory,hardness,hit_location
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,703492,Nick Morabito,2,SI,Sinker,Called Strike,94.7,86.6,6.010345950814783,-1.333477851446115,50.0008281694938,5.592140574914584,2177,213,39.6,4.8,-18.4,12.2,15.2,9,0.39832995073408295,0.92,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,703492,Nick Morabito,3,FF,Four-Seam Fastball,Ball,97.1,88.4,5.902358071891265,-1.4481242199690194,50.00439377025956,5.9299637812370065,2265,207,34.8,3.6,-11.8,17.3,8.0,11,0.3877745060724411,0.85,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,703492,Nick Morabito,4,SI,Sinker,"In play, no out",93.8,85.6,6.07119737020701,-1.4508175799490786,50.00227076152331,5.546502381794605,2129,215,45.6,4.8,-16.4,14.8,16.9,5,0.4020058661014194,2.0,72.5,-47.0,3.0,ground_ball,medium,6
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,1,FF,Four-Seam Fastball,Foul,95.4,87.0,6.108582626502644,-1.7295942043280204,50.000583057833396,5.589949891354401,2498,212,28.8,3.6,-15.1,15.1,8.3,4,0.39530652255180154,0.75,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,2,CH,Changeup,Called Strike,88.9,81.5,5.908327073531373,-1.8624078442211158,50.00162618407992,5.309405144956449,2084,222,33.6,7.2,-26.5,8.2,17.8,7,0.42370086063560297,2.0,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,3,CH,Changeup,Ball,88.5,80.6,5.992102875128181,-2.026858555712367,50.00325891880987,5.470321871628953,2026,227,31.2,6.0,-24.6,10.6,15.0,11,0.42624118137467093,2.0,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,4,SL,Slider,Ball,84.5,77.4,6.028686189892265,-1.8106083753652171,50.000050708843,5.439909990256017,2640,32,16.8,8.4,-37.3,1.2,-11.0,14,0.4468129240115921,0.89,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,5,SI,Sinker,Ball,95.7,87.1,6.104722138156049,-1.6803269345611,50.00328750176197,5.45438744005186,,,42.0,4.8,-14.9,15.2,13.2,13,0.39502600123538434,0.85,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,805808,Kevin McGonigle,6,SL,Slider,Foul,83.0,75.9,5.9563312623974936,-1.9830804052578601,50.004516867867416,5.534457045687331,2656,49,9.6,9.6,-41.3,-1.4,-6.7,5,0.4544129131391581,0.91,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,801194,Max Anderson,1,SL,Slider,Foul,82.6,76.6,6.142296287028347,-1.6791172731746806,50.004968383622234,5.468964494849017,2460,40,12.0,9.6,-39.7,0.1,-8.4,14,0.454446907677617,0.91,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,801194,Max Anderson,2,SL,Slider,Ball,84.1,77.9,6.086838427121972,-1.8837748557917964,50.00022542616626,5.433958995325191,2739,32,14.4,9.6,-41.5,-3.0,-10.9,14,0.446883563145974,0.9,,,,,,
825618,2025-10-06,Scottsdale Stadium,1,bottom,691000,Carson Montgomery,801194,Max Anderson,3,SI,Sinker,Ball,94.5,86.8,6.012807093236529,-1.3880796232165349,50.0019101170865,5.7565327434252636,2365,197,31.2,4.8,-19.6,10.9,12.1,12,0.3971678525408775,0.91,,,,,,
