pitcher_id,pitcher_name,age,airOuts,atBats,avg,balks,baseOnBalls,battersFaced,blownSaves,catchersInterference,caughtStealing,caughtStealingPercentage,completeGames,doubles,earnedRuns,era,gamesFinished,gamesPitched,gamesPlayed,gamesStarted,groundIntoDoublePlay,groundOuts,groundOutsToAirouts,hitBatsmen,hitByPitch,hits,hitsPer9Inn,holds,homeRuns,homeRunsPer9,inheritedRunners,inheritedRunnersScored,inningsPitched,intentionalWalks,losses,numberOfPitches,obp,ops,outs,pickoffs,pitchesPerInning,runs,runsScoredPer9,sacBunts,sacFlies,saveOpportunities,saves,shutouts,slg,stolenBasePercentage,stolenBases,strikeOuts,strikePercentage,strikeoutWalkRatio,strikeoutsPer9Inn,strikes,totalBases,triples,walksPer9Inn,whip,wildPitches,winPercentage,wins
801333,Johnathan Harmon,24,10,54,.259,0,10,65,0,0,0,.000,0,1,8,5.27,0,5,5,3,1,14,1.40,1,1,14,9.22,0,0,0.00,0,0,13.2,0,1,257,.385,.663,41,0,18.80,8,5.27,0,0,0,0,0,.278,1.000,5,16,.580,1.60,10.54,149,15,0,6.59,1.76,3,.500,1
813820,Chen-Wei Lin,23,10,48,.271,0,8,58,0,0,1,.200,0,3,9,6.57,0,5,5,5,0,7,0.70,1,1,13,9.49,0,1,0.73,0,0,12.1,0,1,233,.379,.817,37,0,18.89,10,7.30,0,1,0,0,0,.438,.800,4,19,.610,2.38,13.86,142,21,1,5.84,1.70,4,.750,3
694885,Ryan Murphy,25,22,60,.267,0,10,74,0,0,1,.167,0,3,8,4.24,0,6,6,5,2,10,0.45,3,3,16,8.47,0,0,0.00,2,0,17.0,0,2,293,.392,.709,51,0,17.24,10,5.29,0,1,0,0,0,.317,.833,5,13,.580,1.30,6.88,170,19,0,5.29,1.53,2,.500,2
801270,Darwin Rodriguez,20,11,35,.257,0,10,45,0,0,0,.000,0,2,6,6.23,1,7,7,0,0,9,0.82,0,0,9,9.35,0,0,0.00,3,0,8.2,0,0,175,.422,.736,26,0,20.19,7,7.27,0,0,0,0,0,.314,1.000,1,6,.530,0.60,6.23,92,11,0,10.38,2.19,0,1.000,3
694518,Austin Smith,26,7,29,.379,1,10,39,2,0,0,.000,0,2,8,10.80,2,8,8,0,1,6,0.86,0,0,11,14.85,1,0,0.00,4,0,6.2,0,1,145,.538,.986,20,0,21.75,8,10.80,0,0,2,0,0,.448,1.000,1,5,.540,0.50,6.75,79,13,0,13.50,3.15,2,.000,0
686672,Mark Adamiak,24,7,25,.280,0,7,33,0,0,0,.000,0,1,6,9.00,4,7,7,0,0,4,0.57,1,1,7,10.50,0,1,1.50,4,2,6.0,0,0,142,.455,.895,18,0,23.67,6,9.00,0,0,2,2,0,.440,1.000,2,7,.610,1.00,10.50,87,11,0,10.50,2.33,1,.---,0
695076,Rhett Lowder,23,5,35,.257,0,1,38,0,0,0,.000,0,2,5,5.00,0,4,4,4,1,13,2.60,2,2,9,9.00,0,2,2.00,0,0,9.0,0,1,145,.316,.802,27,0,16.11,5,5.00,0,0,0,0,0,.486,1.000,2,8,.660,8.00,8.00,95,17,0,1.00,1.11,1,.500,1
695065,Ryan Costeiu,24,11,43,.326,1,13,57,0,0,0,.000,0,2,8,6.97,1,5,5,1,2,10,0.91,0,0,14,12.19,0,2,1.74,1,0,10.1,0,1,234,.474,1.032,31,0,22.65,10,8.71,0,1,0,0,0,.558,1.000,5,9,.570,0.69,7.84,133,24,1,11.32,2.61,1,.500,1
801802,James Hicks,24,12,46,.130,0,2,49,0,0,0,.000,0,3,0,0.00,0,4,4,2,1,9,0.75,1,1,6,3.86,1,0,0.00,0,0,14.0,0,0,175,.184,.380,42,0,12.50,0,0.00,0,0,0,0,0,.196,1.000,3,19,.670,9.50,12.21,117,9,0,1.29,0.57,0,1.000,2
702516,JP Wheat,22,3,21,.286,0,16,37,1,0,0,.000,0,0,14,23.63,0,6,6,0,2,7,2.33,0,0,6,10.13,1,1,1.69,0,0,5.1,0,2,156,.595,1.024,16,0,29.25,14,23.63,0,0,1,0,0,.429,1.000,6,5,.430,0.31,8.44,67,9,0,27.00,4.13,3,.000,0
