date,time_az,away_team,home_team,venue,venue_id,game_pk,game_type,status,status_reason,rescheduled,original_date,description
2025-10-26,5:00 PM,Salt River Rafters,Glendale Desert Dogs,Camelback Ranch,3809,825660,Regular Season,Final,,N,,
2025-10-26,5:00 PM,Mesa Solar Sox,Scottsdale Scorpions,Scottsdale Stadium,2532,825609,Regular Season,Final,,N,,
2025-10-28,1:30 PM,Salt River Rafters,Peoria Javelinas,Peoria Stadium,2530,825639,Regular Season,Final,,N,,
2025-10-28,1:30 PM,Surprise Saguaros,Scottsdale Scorpions,Scottsdale Stadium,2532,825613,Regular Season,Final,,N,,
2025-10-28,1:30 PM,Glendale Desert Dogs,Mesa Solar Sox,Sloan Park,4629,825599,Regular Season,Final,,N,,
2025-10-29,1:30 PM,Peoria Javelinas,Salt River Rafters,Salt River Fields at Talking Stick,4249,825628,Regular Season,Final,,N,,
2025-10-29,1:30 PM,Scottsdale Scorpions,Surprise Saguaros,Surprise Stadium,2603,825583,Regular Season,Final,,N,,
2025-10-29,1:30 PM,Mesa Solar Sox,Glendale Desert Dogs,Camelback Ranch,3809,825656,Regular Season,Final,,N,,
2025-10-30,1:30 PM,Surprise Saguaros,Peoria Javelinas,Peoria Stadium,2530,825642,Regular Season,Final,Tied,N,,
2025-10-30,1:30 PM,Mesa Solar Sox,Salt River Rafters,Salt River Fields at Talking Stick,4249,825627,Regular Season,Final,,N,,
2025-10-30,6:30 PM,Glendale Desert Dogs,Scottsdale Scorpions,Scottsdale Stadium,2532,825612,Regular Season,Final,,N,,
2025-10-31,1:30 PM,Peoria Javelinas,Glendale Desert Dogs,Camelback Ranch,3809,825659,Regular Season,Final,,N,,
2025-10-31,1:30 PM,Scottsdale Scorpions,Salt River Rafters,Salt River Fields at Talking Stick,4249,825626,Regular Season,Final,,N,,
2025-10-31,1:30 PM,Mesa Solar Sox,Surprise Saguaros,Surprise Stadium,2603,825582,Regular Season,Final,,N,,
2025-11-01,12:30 PM,Glendale Desert Dogs,Mesa Solar Sox,Sloan Park,4629,825598,Regular Season,Final,,N,,
2025-11-01,1:30 PM,Peoria Javelinas,Surprise Saguaros,Surprise Stadium,2603,825578,Regular Season,Final,,N,,
2025-11-01,3:30 PM,Salt River Rafters,Scottsdale Scorpions,Scottsdale Stadium,2532,825611,Regular Season,Final,,N,,
2025-11-02,12:30 PM,Surprise Saguaros,Glendale Desert Dogs,Camelback Ranch,3809,825658,Regular Season,Final,,N,,
